 2018-08-17 14:40:45,733 [P35496/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.11.1 application starting on 4X47GC2
 2018-08-17 14:40:45,773 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2018-08-17 14:40:45,788 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 15ms)
 2018-08-17 14:40:45,876 [P35496/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2018-08-17 14:40:45,878 [P35496/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2018-08-17 14:40:45,880 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-08-17 14:40:45,919 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 38ms)
 2018-08-17 14:40:45,919 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2018-08-17 14:40:45,921 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 1ms)
 2018-08-17 14:40:45,949 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-08-17 14:40:45,951 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 1ms)
 2018-08-17 14:40:45,952 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2018-08-17 14:40:45,952 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 0ms)
 2018-08-17 14:40:45,952 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-08-17 14:40:45,953 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-08-17 14:40:45,953 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2018-08-17 14:40:45,956 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyValueConverter (took 2ms)
 2018-08-17 14:40:45,976 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-08-17 14:40:45,976 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-08-17 14:40:45,977 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.Mvc.SurfaceController
 2018-08-17 14:40:45,977 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.Mvc.SurfaceController (took 0ms)
 2018-08-17 14:40:45,977 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-08-17 14:40:45,977 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-08-17 14:40:45,978 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.WebApi.UmbracoApiController
 2018-08-17 14:40:45,979 [P35496/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.WebApi.UmbracoApiController (took 1ms)
 2018-08-17 14:40:48,313 [P35496/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2018-08-17 14:40:48,791 [P35496/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
